Volatility 3 Framework 2.4.1

Offset	Name	Size

0x7d402680	\Nexon\MapleStory\l3codeca.acm	216
0x7d405270	\Users\Rick\AppData\Roaming\BitTorrent\dlimagecache\165F6EF40A81DD175FFAEA69E77ABFD30B27E71C	216
0x7d607780	\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010001.dir	216
0x7d60f2b0	\Users\Rick\AppData\Local\Google\Chrome\User Data\Default\Extension Rules\MANIFEST-000001	216
0x7d60f400	\Windows\winsxs\x86_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.7601.17514_none_72d18a4386696c80	216
0x7d635510	\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010004.wsb	216
0x7d635e80	\Windows\Fonts\mingliu.ttc	216
0x7d637d20	\Windows\System32\catroot2\{127D0A1D-4EF2-11D1-8608-00C04FC295EE}\catdb	216
0x7d63b650	\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\SecStore\CiST0000.000	216
0x7d63c600	\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\SecStore\CiST0000.001	216
0x7d63ec30	\Users\Rick\AppData\Local\Lavasoft\WebCompanion.exe_Url_siq0lwf3tzgxp2khfkllybk3idtbehng\4.3.1865.3518\user.configwcfg	216
0x7d641070	\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\INDEX.000	216
0x7d6423d0	\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\INDEX.002	216
0x7d649480	\	216
0x7d649e90	\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010001.wid	216
0x7d6506d0	\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2	216
0x7d651070	\Users\Rick\AppData\Local\Google\Chrome\User Data\Default\Extension Rules\CURRENT	216
0x7d652200	\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010004.wid	216
0x7d653b70	\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010005.dir	216
0x7d65d2f0	\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010003.ci	216
0x7d65d600	\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010003.wid	216
0x7d65d7f0	\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010004.dir	216
0x7d65ea80	\Windows\System32\config\systemprofile\AppData\LocalLow\Microsoft\CryptnetUrlCache\MetaData\EA618097E393409AFA316F0F87E2C202_B5D049703BF545D53C3EC408947E089F	216
0x7d65ecd0	\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2	216
0x7d65ef20	\mojo.4076.3192.11761637087160215477	216
0x7d660320	\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2	216
0x7d660500	\Users\Rick\Desktop\READ_IT.txt	216
0x7d662d80	\MsFteWds	216
0x7d6654c0	\Windows	216
0x7d667070	\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac	216
0x7d66d9d0	\BitTorrent_2836_00313D08_590648902	216
0x7d677940	\AsyncConnectHlp	216
0x7d677a90	\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac	216
0x7d679070	\Users\Rick\AppData\LocalLow\BitTorrent\BitTorrent_2836_00313D08_590648902	216
0x7d687520	\Windows\Microsoft.NET\Framework\v4.0.30319\sortdefault.nlp	216
0x7d689200	\Windows\winsxs\Manifests\amd64_microsoft.vc80.crt_1fc8b3b9a1e18e3b_8.0.50727.4940_none_88df89932faf0bf6.manifest	216
0x7d68c330	\$ConvertToNonresident	216
0x7d68c9d0	\mojo.4076.4080.14984992168350808406	216
0x7d68d4c0	\Users\Rick\AppData\LocalLow\Microsoft\CryptnetUrlCache\MetaData	216
0x7d694490	\Windows\Microsoft.NET\Framework\v4.0.30319\Config\machine.config	216
0x7d6964a0	\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2	216
0x7d696b90	\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac	216
0x7d69a1d0	\Windows\SysWOW64	216
0x7d6b3500	\Windows	216
0x7d6b3a10	\Torrents\Rick and Morty - Season 3 (2017) [1080p]\Rick.and.Morty.S03E07.The.Ricklantis.Mixup.1080p.Amazon.WEB-DL.x264-Rapta.mkv	216
0x7d6b5c80	\ProgramData\Microsoft\Windows Defender\Scans\History\CacheManager\MpSfc.bin	216
0x7d6c2680	\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2	216
0x7d6c3070	\BitTorrent_2836_00313978_1933444659	216
0x7d6c7470	\Windows\SysWOW64	216
0x7d6cba20	\Users\Rick\AppData\Roaming\Microsoft\Windows\Start Menu	216
0x7d6ccb30	\Windows	216
0x7d6cce60	\Windows\Microsoft.NET\Framework\v2.0.50727\CONFIG\enterprisesec.config.cch	216
0x7d6d8720	\BitTorrent_2836_00313978_1933444659	216
0x7d6da6b0	\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2	216
0x7d6da800	\Users\Rick\AppData\LocalLow\BitTorrent\BitTorrent_2836_00313978_1933444659	216
0x7d6e13e0	\Windows\assembly\GAC_32\mscorlib\2.0.0.0__b77a5c561934e089\sortkey.nlp	216
0x7d6e3dd0	\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac	216
0x7d6e5f20	\AsyncConnectHlp	216
0x7d6ec340	\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2	216
0x7d6ecd20	\Windows\SysWOW64	216
